first_name,last_name,email,availability
Susan,Hollis,SusanHollis@email.com,"['5:00-6:00pm W', '6:00-7:00pm M', '5:00-6:00pm Sun', '6:00-7:00pm T']"
Bradley,Riley,BradleyRiley@email.com,"['5:00-6:00pm M', '5:00-6:00pm T', '3:00-4:00pm Sun', '7:00-8:00pm F', '6:00-7:00pm T', '7:00-8:00pm W']"
Chris,Oropesa,ChrisOropesa@email.com,"['6:00-7:00pm W', '5:00-6:00pm Sun', '7:00-8:00pm T', '6:00-7:00pm Sun', '8:00-9:00pm T']"
Sharon,Scott,SharonScott@email.com,"['5:00-6:00pm T', '7:00-8:00pm Sun', '5:00-6:00pm F', '7:00-8:00pm F']"
Duane,Luera,DuaneLuera@email.com,"['6:00-7:00pm Th', '4:00-5:00pm Sun', '5:00-6:00pm M']"
Margaret,Farmer,MargaretFarmer@email.com,"['7:00-8:00pm Sun', '8:00-9:00pm T', '5:00-6:00pm W', '5:00-6:00pm F']"
Barbara,Darling,BarbaraDarling@email.com,"['7:00-8:00pm T', '8:00-9:00pm T', '5:00-6:00pm T', '7:00-8:00pm Sun', '5:00-6:00pm Sun', '6:00-7:00pm W']"
Paul,Sanders,PaulSanders@email.com,"['8:00-9:00pm T', '6:00-7:00pm W', '6:00-7:00pm Sun']"
Bradley,Walker,BradleyWalker@email.com,"['6:00-7:00pm F', '7:00-8:00pm M', '7:00-8:00pm Th', '7:00-8:00pm Sun', '6:00-7:00pm M', '6:00-7:00pm Sun']"
Anthony,Hernandez,AnthonyHernandez@email.com,"['6:00-7:00pm Sun', '7:00-8:00pm F', '5:00-6:00pm M', '5:00-6:00pm Sun', '5:00-6:00pm T']"
Adolfo,Doyle,AdolfoDoyle@email.com,"['7:00-8:00pm M', '6:00-7:00pm T', '6:00-7:00pm M', '7:00-8:00pm T', '5:00-6:00pm T', '8:00-9:00pm T']"
Irene,Keagle,IreneKeagle@email.com,"['6:00-7:00pm F', '8:00-9:00pm Sun', '8:00-9:00pm F', '5:00-6:00pm M', '7:00-8:00pm Sun']"
Amanda,Irvin,AmandaIrvin@email.com,"['6:00-7:00pm Sun', '6:00-7:00pm M', '7:00-8:00pm Th', '6:00-7:00pm W']"
Theda,Villegas,ThedaVillegas@email.com,"['6:00-7:00pm W', '6:00-7:00pm M', '5:00-6:00pm Sun', '6:00-7:00pm F', '7:00-8:00pm W']"
Edward,Hobby,EdwardHobby@email.com,"['6:00-7:00pm T', '7:00-8:00pm M', '8:00-9:00pm F']"
Charles,Blount,CharlesBlount@email.com,"['5:00-6:00pm F', '6:00-7:00pm W', '7:00-8:00pm F']"
Mark,Young,MarkYoung@email.com,"['5:00-6:00pm Sun', '5:00-6:00pm W', '7:00-8:00pm W', '8:00-9:00pm Th', '3:00-4:00pm Sun']"
Lillian,Nelson,LillianNelson@email.com,"['7:00-8:00pm T', '7:00-8:00pm Th', '6:00-7:00pm W', '6:00-7:00pm T']"
Lester,White,LesterWhite@email.com,"['7:00-8:00pm T', '5:00-6:00pm M', '7:00-8:00pm Sun', '6:00-7:00pm M', '3:00-4:00pm Sun']"
Sarah,Hix,SarahHix@email.com,"['6:00-7:00pm M', '8:00-9:00pm Sun', '5:00-6:00pm T', '4:00-5:00pm Sun', '6:00-7:00pm T', '7:00-8:00pm W']"
Clare,Torres,ClareTorres@email.com,"['7:00-8:00pm T', '6:00-7:00pm F', '8:00-9:00pm W']"
Anne,Bell,AnneBell@email.com,"['8:00-9:00pm T', '7:00-8:00pm T', '7:00-8:00pm W', '6:00-7:00pm M']"
Vernon,King,VernonKing@email.com,"['5:00-6:00pm F', '6:00-7:00pm Sun', '8:00-9:00pm F', '8:00-9:00pm T', '3:00-4:00pm Sun', '7:00-8:00pm Th']"
James,Delgado,JamesDelgado@email.com,"['5:00-6:00pm W', '5:00-6:00pm Sun', '7:00-8:00pm Sun', '8:00-9:00pm Sun', '6:00-7:00pm T', '8:00-9:00pm W']"
Scott,Weathers,ScottWeathers@email.com,"['5:00-6:00pm M', '7:00-8:00pm Th', '5:00-6:00pm Th', '5:00-6:00pm T']"
Williams,Koss,WilliamsKoss@email.com,"['7:00-8:00pm F', '5:00-6:00pm M', '5:00-6:00pm Sun', '8:00-9:00pm M', '7:00-8:00pm Th']"
Brenda,Herrera,BrendaHerrera@email.com,"['6:00-7:00pm T', '7:00-8:00pm M', '8:00-9:00pm F', '8:00-9:00pm W', '6:00-7:00pm Sun', '5:00-6:00pm W']"
Marietta,London,MariettaLondon@email.com,"['5:00-6:00pm Th', '6:00-7:00pm F', '8:00-9:00pm Sun', '6:00-7:00pm Sun', '5:00-6:00pm F']"
Juanita,Scroggin,JuanitaScroggin@email.com,"['6:00-7:00pm Th', '6:00-7:00pm Sun', '5:00-6:00pm M', '5:00-6:00pm F', '5:00-6:00pm Th']"
Merrill,Youngblood,MerrillYoungblood@email.com,"['6:00-7:00pm Th', '5:00-6:00pm Th', '6:00-7:00pm Sun']"
Steven,House,StevenHouse@email.com,"['5:00-6:00pm F', '7:00-8:00pm T', '7:00-8:00pm Sun']"
Stephanie,Hong,StephanieHong@email.com,"['5:00-6:00pm F', '7:00-8:00pm W', '7:00-8:00pm T']"
Winston,Wagner,WinstonWagner@email.com,"['8:00-9:00pm W', '5:00-6:00pm W', '6:00-7:00pm Th', '8:00-9:00pm Sun']"
Deborah,Robinson,DeborahRobinson@email.com,"['7:00-8:00pm T', '5:00-6:00pm Sun', '6:00-7:00pm Sun', '8:00-9:00pm M', '7:00-8:00pm Th', '5:00-6:00pm T']"
William,Kemmerer,WilliamKemmerer@email.com,"['5:00-6:00pm F', '8:00-9:00pm Th', '6:00-7:00pm Sun']"
Charles,Wilson,CharlesWilson@email.com,"['6:00-7:00pm W', '6:00-7:00pm Th', '6:00-7:00pm F', '8:00-9:00pm F', '5:00-6:00pm F', '8:00-9:00pm Th']"
James,Evans,JamesEvans@email.com,"['6:00-7:00pm M', '5:00-6:00pm M', '6:00-7:00pm F', '5:00-6:00pm Sun', '7:00-8:00pm W', '8:00-9:00pm T']"
Rita,Thomas,RitaThomas@email.com,"['7:00-8:00pm M', '8:00-9:00pm T', '5:00-6:00pm F', '6:00-7:00pm Th']"
Jacob,Weir,JacobWeir@email.com,"['8:00-9:00pm Sun', '4:00-5:00pm Sun', '5:00-6:00pm T', '6:00-7:00pm M', '7:00-8:00pm Sun', '8:00-9:00pm Th']"
Bennie,Chappell,BennieChappell@email.com,"['6:00-7:00pm T', '6:00-7:00pm Sun', '8:00-9:00pm Sun']"
Ty,Quirk,TyQuirk@email.com,"['6:00-7:00pm M', '8:00-9:00pm T', '8:00-9:00pm M']"
Lorri,Haley,LorriHaley@email.com,"['6:00-7:00pm T', '5:00-6:00pm Sun', '8:00-9:00pm F', '6:00-7:00pm F']"
Sharon,Monzon,SharonMonzon@email.com,"['8:00-9:00pm M', '6:00-7:00pm W', '8:00-9:00pm W', '7:00-8:00pm M', '8:00-9:00pm Sun']"
Gary,English,GaryEnglish@email.com,"['6:00-7:00pm T', '5:00-6:00pm Th', '5:00-6:00pm M']"
Joann,Lemieux,JoannLemieux@email.com,"['8:00-9:00pm F', '7:00-8:00pm F', '7:00-8:00pm M', '7:00-8:00pm Sun', '8:00-9:00pm T', '7:00-8:00pm T']"
Gerard,Anwar,GerardAnwar@email.com,"['8:00-9:00pm Sun', '7:00-8:00pm Sun', '6:00-7:00pm Th', '4:00-5:00pm Sun']"
Caryn,Hawkins,CarynHawkins@email.com,"['6:00-7:00pm T', '5:00-6:00pm F', '8:00-9:00pm Th', '5:00-6:00pm T']"
Robert,Gorham,RobertGorham@email.com,"['6:00-7:00pm F', '7:00-8:00pm Th', '6:00-7:00pm W', '7:00-8:00pm W']"
Frank,Richards,FrankRichards@email.com,"['6:00-7:00pm M', '7:00-8:00pm Th', '4:00-5:00pm Sun', '8:00-9:00pm M', '7:00-8:00pm W']"
Saundra,Smith,SaundraSmith@email.com,"['3:00-4:00pm Sun', '7:00-8:00pm Th', '7:00-8:00pm T']"
Elliott,Garcia,ElliottGarcia@email.com,"['7:00-8:00pm W', '7:00-8:00pm Sun', '5:00-6:00pm M', '5:00-6:00pm T', '7:00-8:00pm T', '4:00-5:00pm Sun']"
Pamella,Robinson,PamellaRobinson@email.com,"['8:00-9:00pm F', '7:00-8:00pm M', '4:00-5:00pm Sun']"
Eleanor,Newman,EleanorNewman@email.com,"['6:00-7:00pm W', '3:00-4:00pm Sun', '5:00-6:00pm Sun', '7:00-8:00pm W']"
Randal,Thompson,RandalThompson@email.com,"['3:00-4:00pm Sun', '5:00-6:00pm Sun', '5:00-6:00pm Th']"
Phoebe,Weaver,PhoebeWeaver@email.com,"['8:00-9:00pm W', '5:00-6:00pm F', '7:00-8:00pm F', '5:00-6:00pm W', '6:00-7:00pm W', '8:00-9:00pm Sun']"
Oscar,Serbus,OscarSerbus@email.com,"['6:00-7:00pm Sun', '5:00-6:00pm M', '8:00-9:00pm T', '6:00-7:00pm F']"
Julie,Crawford,JulieCrawford@email.com,"['6:00-7:00pm F', '4:00-5:00pm Sun', '7:00-8:00pm W', '8:00-9:00pm T', '7:00-8:00pm M', '5:00-6:00pm W']"
Christine,Walters,ChristineWalters@email.com,"['5:00-6:00pm F', '6:00-7:00pm F', '7:00-8:00pm M', '8:00-9:00pm W', '7:00-8:00pm T']"
Katie,Migl,KatieMigl@email.com,"['5:00-6:00pm F', '4:00-5:00pm Sun', '7:00-8:00pm Th', '8:00-9:00pm T']"
Rudolph,Wohlenhaus,RudolphWohlenhaus@email.com,"['8:00-9:00pm M', '6:00-7:00pm Sun', '6:00-7:00pm W']"
Jeffrey,Lacasse,JeffreyLacasse@email.com,"['5:00-6:00pm Th', '3:00-4:00pm Sun', '7:00-8:00pm M', '5:00-6:00pm F', '8:00-9:00pm M', '6:00-7:00pm W']"
Dolores,Carnes,DoloresCarnes@email.com,"['7:00-8:00pm W', '6:00-7:00pm M', '5:00-6:00pm M', '7:00-8:00pm M', '5:00-6:00pm F', '5:00-6:00pm T']"
Hal,Mccarron,HalMccarron@email.com,"['7:00-8:00pm T', '7:00-8:00pm W', '5:00-6:00pm Sun']"
Jimmy,Knowles,JimmyKnowles@email.com,"['5:00-6:00pm Sun', '5:00-6:00pm T', '4:00-5:00pm Sun', '7:00-8:00pm M']"
Irene,Peterson,IrenePeterson@email.com,"['5:00-6:00pm W', '7:00-8:00pm M', '7:00-8:00pm F', '6:00-7:00pm M', '6:00-7:00pm Th', '6:00-7:00pm W']"
Robert,Hernandez,RobertHernandez@email.com,"['8:00-9:00pm W', '8:00-9:00pm Th', '6:00-7:00pm M', '7:00-8:00pm Sun', '7:00-8:00pm F', '8:00-9:00pm T']"
Felipe,Norman,FelipeNorman@email.com,"['7:00-8:00pm Sun', '8:00-9:00pm Sun', '8:00-9:00pm W', '6:00-7:00pm Sun', '6:00-7:00pm Th']"
George,Lawhon,GeorgeLawhon@email.com,"['5:00-6:00pm Th', '6:00-7:00pm T', '6:00-7:00pm Sun', '7:00-8:00pm Th']"
Humberto,Cantey,HumbertoCantey@email.com,"['8:00-9:00pm Sun', '8:00-9:00pm M', '6:00-7:00pm Sun', '6:00-7:00pm Th']"
Cynthia,Miller,CynthiaMiller@email.com,"['8:00-9:00pm T', '7:00-8:00pm F', '6:00-7:00pm Th', '4:00-5:00pm Sun', '7:00-8:00pm W']"
Stephanie,Fulmore,StephanieFulmore@email.com,"['3:00-4:00pm Sun', '5:00-6:00pm W', '8:00-9:00pm Sun', '7:00-8:00pm M', '6:00-7:00pm Th', '6:00-7:00pm F']"
Norma,Love,NormaLove@email.com,"['7:00-8:00pm T', '6:00-7:00pm T', '7:00-8:00pm F', '6:00-7:00pm Th', '5:00-6:00pm F']"
Robert,Hylton,RobertHylton@email.com,"['7:00-8:00pm W', '7:00-8:00pm Th', '8:00-9:00pm Th']"
Edward,Haskins,EdwardHaskins@email.com,"['5:00-6:00pm Th', '6:00-7:00pm Th', '3:00-4:00pm Sun']"
Donald,Schleusner,DonaldSchleusner@email.com,"['7:00-8:00pm W', '4:00-5:00pm Sun', '7:00-8:00pm Th']"
Pauline,Williams,PaulineWilliams@email.com,"['4:00-5:00pm Sun', '7:00-8:00pm Sun', '7:00-8:00pm T', '7:00-8:00pm F', '8:00-9:00pm F', '6:00-7:00pm W']"
Violet,Harris,VioletHarris@email.com,"['8:00-9:00pm F', '7:00-8:00pm T', '7:00-8:00pm M', '8:00-9:00pm M']"
Mark,Buckhalter,MarkBuckhalter@email.com,"['8:00-9:00pm M', '8:00-9:00pm F', '6:00-7:00pm T']"
Daniel,Strange,DanielStrange@email.com,"['4:00-5:00pm Sun', '5:00-6:00pm T', '5:00-6:00pm Th', '5:00-6:00pm W']"
Richard,Thorpe,RichardThorpe@email.com,"['6:00-7:00pm F', '6:00-7:00pm Th', '7:00-8:00pm F', '5:00-6:00pm M', '4:00-5:00pm Sun', '5:00-6:00pm F']"
Edward,Wilson,EdwardWilson@email.com,"['6:00-7:00pm F', '5:00-6:00pm W', '8:00-9:00pm M', '3:00-4:00pm Sun']"
Gerald,Dunn,GeraldDunn@email.com,"['5:00-6:00pm T', '8:00-9:00pm W', '7:00-8:00pm W', '7:00-8:00pm M']"
Harold,Watson,HaroldWatson@email.com,"['6:00-7:00pm Sun', '5:00-6:00pm Th', '7:00-8:00pm F', '7:00-8:00pm Sun', '7:00-8:00pm W']"
Thomas,Butler,ThomasButler@email.com,"['6:00-7:00pm M', '6:00-7:00pm F', '5:00-6:00pm Sun']"
Tobias,Trump,TobiasTrump@email.com,"['7:00-8:00pm F', '6:00-7:00pm Th', '5:00-6:00pm M', '5:00-6:00pm T', '5:00-6:00pm F']"
Norma,Doody,NormaDoody@email.com,"['7:00-8:00pm Th', '8:00-9:00pm Sun', '5:00-6:00pm Sun']"
Isabella,Smith,IsabellaSmith@email.com,"['8:00-9:00pm F', '8:00-9:00pm Th', '6:00-7:00pm Sun', '7:00-8:00pm W', '5:00-6:00pm Sun']"
Lisa,Gamino,LisaGamino@email.com,"['8:00-9:00pm F', '6:00-7:00pm W', '5:00-6:00pm Th', '5:00-6:00pm F']"
Margaret,Holleran,MargaretHolleran@email.com,"['6:00-7:00pm F', '5:00-6:00pm W', '5:00-6:00pm T', '7:00-8:00pm M', '6:00-7:00pm T', '4:00-5:00pm Sun']"
Kelly,Baker,KellyBaker@email.com,"['6:00-7:00pm T', '8:00-9:00pm F', '3:00-4:00pm Sun', '5:00-6:00pm F']"
Richard,Smith,RichardSmith@email.com,"['8:00-9:00pm M', '3:00-4:00pm Sun', '5:00-6:00pm W', '5:00-6:00pm F', '7:00-8:00pm F']"
Stephen,Mouton,StephenMouton@email.com,"['5:00-6:00pm W', '8:00-9:00pm T', '5:00-6:00pm Th']"
Lee,Willie,LeeWillie@email.com,"['7:00-8:00pm T', '5:00-6:00pm T', '7:00-8:00pm M', '6:00-7:00pm F', '7:00-8:00pm Sun', '5:00-6:00pm Sun']"
James,Lewis,JamesLewis@email.com,"['5:00-6:00pm F', '8:00-9:00pm Sun', '6:00-7:00pm Th']"
Carolyn,Tisby,CarolynTisby@email.com,"['7:00-8:00pm Sun', '5:00-6:00pm W', '8:00-9:00pm Th', '5:00-6:00pm M', '8:00-9:00pm M']"
Stephen,Huston,StephenHuston@email.com,"['7:00-8:00pm Sun', '7:00-8:00pm W', '5:00-6:00pm T', '6:00-7:00pm F']"
Denise,Benton,DeniseBenton@email.com,"['7:00-8:00pm W', '8:00-9:00pm Sun', '6:00-7:00pm Sun', '6:00-7:00pm M', '8:00-9:00pm F', '5:00-6:00pm T']"
Kathy,Budd,KathyBudd@email.com,"['8:00-9:00pm Sun', '8:00-9:00pm W', '6:00-7:00pm Sun', '8:00-9:00pm M']"
Joy,Reid,JoyReid@email.com,"['5:00-6:00pm T', '5:00-6:00pm W', '7:00-8:00pm M', '7:00-8:00pm T', '8:00-9:00pm F']"
Joan,Hirkaler,JoanHirkaler@email.com,"['7:00-8:00pm Th', '6:00-7:00pm F', '7:00-8:00pm Sun']"
Adam,Breeden,AdamBreeden@email.com,"['6:00-7:00pm W', '5:00-6:00pm T', '6:00-7:00pm Sun', '8:00-9:00pm M', '6:00-7:00pm Th']"
Monica,Melville,MonicaMelville@email.com,"['7:00-8:00pm W', '7:00-8:00pm F', '6:00-7:00pm Th', '6:00-7:00pm W', '5:00-6:00pm F', '7:00-8:00pm Th']"
David,Littleton,DavidLittleton@email.com,"['8:00-9:00pm Th', '5:00-6:00pm Th', '7:00-8:00pm F', '6:00-7:00pm Th', '8:00-9:00pm Sun']"
Todd,Horstmann,ToddHorstmann@email.com,"['5:00-6:00pm M', '5:00-6:00pm T', '6:00-7:00pm Sun']"
Lisa,Brown,LisaBrown@email.com,"['3:00-4:00pm Sun', '7:00-8:00pm T', '6:00-7:00pm W', '7:00-8:00pm M', '6:00-7:00pm Sun']"
Christopher,Coldiron,ChristopherColdiron@email.com,"['7:00-8:00pm M', '6:00-7:00pm Th', '7:00-8:00pm Th']"
Emily,Loeffler,EmilyLoeffler@email.com,"['5:00-6:00pm Th', '8:00-9:00pm Th', '7:00-8:00pm F', '3:00-4:00pm Sun', '7:00-8:00pm Sun', '5:00-6:00pm Sun']"
Larry,Johnson,LarryJohnson@email.com,"['4:00-5:00pm Sun', '7:00-8:00pm Sun', '5:00-6:00pm W', '5:00-6:00pm Sun', '6:00-7:00pm W']"
Erica,Rutz,EricaRutz@email.com,"['7:00-8:00pm Sun', '8:00-9:00pm W', '8:00-9:00pm Th', '6:00-7:00pm Sun', '8:00-9:00pm T', '4:00-5:00pm Sun']"
Paula,Ta,PaulaTa@email.com,"['5:00-6:00pm T', '5:00-6:00pm M', '8:00-9:00pm Th']"
Melissa,Brown,MelissaBrown@email.com,"['8:00-9:00pm M', '6:00-7:00pm Th', '7:00-8:00pm Sun', '5:00-6:00pm M', '7:00-8:00pm M', '7:00-8:00pm W']"
Jay,Redenius,JayRedenius@email.com,"['8:00-9:00pm F', '6:00-7:00pm Th', '3:00-4:00pm Sun', '5:00-6:00pm M']"
James,Vegetabile,JamesVegetabile@email.com,"['6:00-7:00pm F', '7:00-8:00pm Sun', '6:00-7:00pm Sun']"
Elisha,Simmons,ElishaSimmons@email.com,"['4:00-5:00pm Sun', '6:00-7:00pm T', '5:00-6:00pm Th', '8:00-9:00pm Th']"
Aaron,Campbell,AaronCampbell@email.com,"['5:00-6:00pm F', '7:00-8:00pm Sun', '8:00-9:00pm W', '5:00-6:00pm Sun', '7:00-8:00pm Th']"
Amanda,Haywood,AmandaHaywood@email.com,"['5:00-6:00pm T', '7:00-8:00pm Th', '7:00-8:00pm W', '6:00-7:00pm Sun', '6:00-7:00pm Th', '7:00-8:00pm Sun']"
Ruth,Bose,RuthBose@email.com,"['5:00-6:00pm Th', '7:00-8:00pm M', '7:00-8:00pm Th', '7:00-8:00pm T', '7:00-8:00pm W']"
Desirae,Brewer,DesiraeBrewer@email.com,"['8:00-9:00pm F', '5:00-6:00pm Th', '7:00-8:00pm M', '5:00-6:00pm W', '8:00-9:00pm T']"
Frank,Johnson,FrankJohnson@email.com,"['7:00-8:00pm Sun', '6:00-7:00pm Th', '3:00-4:00pm Sun']"
Arline,Berry,ArlineBerry@email.com,"['4:00-5:00pm Sun', '7:00-8:00pm T', '5:00-6:00pm Sun', '6:00-7:00pm Th', '6:00-7:00pm F', '5:00-6:00pm F']"
Seth,Wallace,SethWallace@email.com,"['8:00-9:00pm Th', '7:00-8:00pm W', '5:00-6:00pm Th', '6:00-7:00pm Sun', '6:00-7:00pm Th', '7:00-8:00pm Th']"
Jennifer,Mcmorris,JenniferMcmorris@email.com,"['6:00-7:00pm M', '8:00-9:00pm W', '6:00-7:00pm F', '5:00-6:00pm Th', '6:00-7:00pm Th']"
Micheal,Bowlin,MichealBowlin@email.com,"['7:00-8:00pm F', '8:00-9:00pm F', '5:00-6:00pm W', '4:00-5:00pm Sun']"
Dan,Navarro,DanNavarro@email.com,"['7:00-8:00pm T', '5:00-6:00pm W', '8:00-9:00pm Th', '6:00-7:00pm Th']"
Roberto,Swanson,RobertoSwanson@email.com,"['8:00-9:00pm Sun', '5:00-6:00pm Th', '5:00-6:00pm F', '5:00-6:00pm M']"
Cathleen,Brunkhorst,CathleenBrunkhorst@email.com,"['5:00-6:00pm T', '8:00-9:00pm W', '7:00-8:00pm Th', '8:00-9:00pm Sun', '6:00-7:00pm M']"
Dale,Gordon,DaleGordon@email.com,"['4:00-5:00pm Sun', '3:00-4:00pm Sun', '8:00-9:00pm T', '8:00-9:00pm Sun', '5:00-6:00pm W', '8:00-9:00pm Th']"
Whitney,House,WhitneyHouse@email.com,"['7:00-8:00pm Th', '6:00-7:00pm F', '7:00-8:00pm M', '5:00-6:00pm F', '3:00-4:00pm Sun', '8:00-9:00pm M']"
Josefina,Felt,JosefinaFelt@email.com,"['4:00-5:00pm Sun', '5:00-6:00pm T', '8:00-9:00pm Th', '6:00-7:00pm M', '5:00-6:00pm Sun', '6:00-7:00pm Sun']"
Marjorie,Gibbons,MarjorieGibbons@email.com,"['6:00-7:00pm W', '7:00-8:00pm Th', '7:00-8:00pm W']"
Kent,Evans,KentEvans@email.com,"['7:00-8:00pm T', '4:00-5:00pm Sun', '5:00-6:00pm M', '8:00-9:00pm M']"
John,Maddox,JohnMaddox@email.com,"['7:00-8:00pm M', '5:00-6:00pm Sun', '4:00-5:00pm Sun', '7:00-8:00pm F', '7:00-8:00pm W']"
Andria,Wesley,AndriaWesley@email.com,"['7:00-8:00pm M', '7:00-8:00pm T', '7:00-8:00pm W', '5:00-6:00pm Th', '8:00-9:00pm T']"
Brian,Maher,BrianMaher@email.com,"['8:00-9:00pm Th', '5:00-6:00pm T', '7:00-8:00pm T']"
Elisha,Chan,ElishaChan@email.com,"['5:00-6:00pm W', '8:00-9:00pm M', '7:00-8:00pm W', '8:00-9:00pm F', '6:00-7:00pm T', '6:00-7:00pm Th']"
Freddie,Santoya,FreddieSantoya@email.com,"['5:00-6:00pm F', '7:00-8:00pm W', '8:00-9:00pm Th', '3:00-4:00pm Sun']"
Margaret,Bryan,MargaretBryan@email.com,"['7:00-8:00pm Th', '6:00-7:00pm T', '5:00-6:00pm Th', '5:00-6:00pm Sun', '8:00-9:00pm T']"
Michelle,Leon,MichelleLeon@email.com,"['8:00-9:00pm Th', '8:00-9:00pm F', '7:00-8:00pm W', '7:00-8:00pm M', '5:00-6:00pm T']"
Chelsie,Goble,ChelsieGoble@email.com,"['6:00-7:00pm Sun', '7:00-8:00pm Sun', '7:00-8:00pm W', '3:00-4:00pm Sun', '6:00-7:00pm F', '8:00-9:00pm T']"
Levi,Hood,LeviHood@email.com,"['6:00-7:00pm Sun', '6:00-7:00pm W', '5:00-6:00pm Th', '4:00-5:00pm Sun']"
